		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110000010  209  237  245  247  218  261  253  242  9.931286 0.269882 SUCCESS  97
110000100  265  234  257  259  266  250  252  241  6.397902 0.602753 SUCCESS  98
110001000  236  242  212  253  252  226  245  261  7.869086 0.446362 SUCCESS  99
110001010  254  226  246  212  232  241  258  243  7.677377 0.465602 SUCCESS 100
110010000  255  244  269  238  263  240  215  226  9.848671 0.275808 SUCCESS 101
110010010  251  216  248  244  244  229  228  258  6.501701 0.591219 SUCCESS 102
110010100  228  232  252  271  223  245  254  237  7.569342 0.476626 SUCCESS 103
110011000  251  260  265  246  235  241  286  235 11.305026 0.185008 SUCCESS 104
110011010  249  242  240  253  261  232  240  273  5.959407 0.651779 SUCCESS 105
110100000  231  259  239  235  233  217  226  252  7.427413 0.491296 SUCCESS 106
110100010  232  242  250  228  255  230  230  268  6.496405 0.591806 SUCCESS 107
110100100  233  249  252  261  235  228  231  256  4.875878 0.770756 SUCCESS 108
110101000  256  233  265  237  253  285  262  234 12.383259 0.134905 SUCCESS 109
110101010  217  218  206  265  240  236  220  255 17.331690 0.026835 SUCCESS 110
110101100  264  258  235  273  256  263  227  244  9.723689 0.284957 SUCCESS 111
110110000  261  265  249  252  232  261  250  254  5.804768 0.669090 SUCCESS 112
110110010  260  275  237  233  228  229  265  245  9.766056 0.281831 SUCCESS 113
110110100  223  246  259  254  278  225  249  243  9.773470 0.281287 SUCCESS 114
110111000  236  236  223  254  225  235  251  230  5.811123 0.668379 SUCCESS 115
110111010  256  211  246  252  254  263  236  249  7.826720 0.450577 SUCCESS 116
110111100  261  248  239  269  226  239  263  231  7.745164 0.458751 SUCCESS 117
111000000  231  257  235  240  272  261  264  226  9.420767 0.308052 SUCCESS 118
111000010  262  242  240  253  244  232  225  255  4.452211 0.814195 SUCCESS 119
111000100  223  255  216  263  237  244  227  244  8.710065 0.367342 SUCCESS 120
111000110  237  264  242  230  233  267  254  241  5.948815 0.652965 SUCCESS 121
111001000  251  219  266  248  265  261  234  243  8.457983 0.390057 SUCCESS 122
111001010  250  239  241  252  233  243  247  217  4.243555 0.834508 SUCCESS 123
111001100  230  259  272  223  243  231  250  223  9.737458 0.283939 SUCCESS 124
111010000  241  236  232  251  224  240  238  247  3.126133 0.926194 SUCCESS 125
111010010  246  246  253  242  236  237  221  259  4.080443 0.849794 SUCCESS 126
111010100  248  239  261  225  247  247  256  235  3.951225 0.861497 SUCCESS 127
111010110  274  258  246  282  246  295  245  234 22.107477 0.004721 FAILURE 128
111011000  284  270  281  247  235  236  265  257 18.549733 0.017462 SUCCESS 129
111011010  237  269  261  258  255  246  243  260  6.447683 0.597216 SUCCESS 130
111011100  236  220  253  256  242  236  239  226  5.478545 0.705416 SUCCESS 131
111100000  249  269  244  228  277  262  257  229 11.427890 0.178613 SUCCESS 132
111100010  247  263  225  256  248  251  231  242  4.704293 0.788663 SUCCESS 133
111100100  246  230  276  253  240  251  231  260  7.568283 0.476735 SUCCESS 134
111100110  246  235  234  246  256  215  248  246  5.086653 0.748276 SUCCESS 135
111101000  233  249  240  249  258  247  253  271  5.042168 0.753060 SUCCESS 136
111101010  239  222  233  244  262  239  253  227  5.750751 0.675128 SUCCESS 137
111101100  255  259  252  254  228  226  238  244  4.766784 0.782187 SUCCESS 138
111101110  247  233  248  263  236  266  221  227  7.947465 0.438619 SUCCESS 139
111110000  227  255  248  227  265  248  235  242  5.331321 0.721648 SUCCESS 140
111110010  253  261  256  245  205  249  236  258  9.822191 0.277728 SUCCESS 141
111110100  228  244  246  252  230  252  261  272  6.985740 0.538172 SUCCESS 142
111110110  262  268  261  252  226  237  252  238  7.266420 0.508180 SUCCESS 143
111111000  262  252  268  252  255  252  221  259  8.260978 0.408401 SUCCESS 144
111111010  231  245  248  248  235  240  243  255  1.791582 0.986748 SUCCESS 145
111111100  261  265  278  238  256  236  240  249  9.123141 0.332015 SUCCESS 146
111111110  253  269  276  242  238  228  227  259 10.719306 0.218116 SUCCESS 147

